MANDT,AGR_NAME,LANGU,PROFILE,PTEXT
001,/SAPTRX/SAP_AS_ADMIN,E,T_AS_ADM__,Profile for role /SAPTRX/SAP_AS_ADMIN
001,ASAP_AUTORENUMGEBUNG,D,T_ASAP-AUT,Profil zur Rolle ASAP_AUTORENUMGEBUNG
001,DPS_BO_PROCN_RFC,D,T_AA360110,Profil zur Rolle DPS_BO_PROCN_RFC
001,MW_ADMIN,E,C_MW_ADMIN,Middleware Administrator
001,SAPI18N,E,T_Y3670039,Profile for role SAPI18N
001,SAP_ACH_ADMIN,D,T_BE110997,Profil zur Rolle SAP_ACH_ADMIN
001,SAP_ALM_ADMINISTRATOR,D,T_ALM_CONF,Profil zur Rolle SAP_ALM_ADMINISTRATOR
001,SAP_ALM_CUSTOMIZER,D,T_ALM_CUST,Profil zur Rolle SAP_ALM_CUSTOMIZER
001,SAP_ALV_ADMIN,E,S_ALV_ADMI,Profil zur Rolle SAP_ALV_ADMIN - ALV Administrationsrolle
001,SAP_ASAP_AUTORENUMGEBUNG,D,T_ASAP_AUT,Profil zur Rolle SAP_ASAP_AUTORENUMGEBUNG
001,SAP_BCS_ACTIV,D,T_BE111071,Profil zur Rolle SAP_BCS_ACTIV
001,SAP_BCS_ADMIN,D,T_BE111069,Profil zur Rolle SAP_BCS_ADMIN
001,SAP_BCS_CREAT,D,T_BE111070,Profil zur Rolle SAP_BCS_CREAT
001,SAP_BCS_VALID,D,T_BE111072,Profil zur Rolle SAP_BCS_VALID
001,SAP_BC_AI_ADMIN,D,T_BE420014,Profil zur Rolle SAP_BC_AI_ADMIN
001,SAP_BC_AI_LANDSCAPE_DB_RFC,D,T_BE111057,Profil zur Rolle SAP_BC_AI_LANDSCAPE_DB_RFC
001,SAP_BC_ALM_ADMIN,D,T_BE112483,Profil zur Rolle SAP_BC_ALM_ADMIN
001,SAP_BC_ALM_ALERT_USER,D,T_BE112637,Profil zur Rolle SAP_BC_ALM_ALERT_USER
001,SAP_BC_ALM_CUST,D,T_BE112353,Profil zur Rolle SAP_BC_ALM_CUST
001,SAP_BC_AUTH_DATA_ADMIN,E,T_BA800108,Profile for Role SAP_BC_AUTH_DATA_ADMIN
001,SAP_BC_AUTH_PROFILE_ADMIN,E,T_BA800109,Profile for Role SAP_BC_AUTH_PROFILE_ADMIN
001,SAP_BC_BATCH_ADMIN,D,T_BA800071,Profil zur Rolle SAP_BC_BATCH_ADMIN
001,SAP_BC_BATCH_ADMIN,E,T_BA800071,Profile for SAP_BC_BATCH_ADMIN Role
001,SAP_BC_BATCH_ADMIN_REDWOOD,D,T_YA670502,Profil zur Rolle SAP_BC_BATCH_ADMIN_REDWOOD
001,SAP_BC_BDC_ADMIN,D,T_BA800029,Profil zur Rolle SAP_BC_BDC_ADMIN
001,SAP_BC_BDC_ADMIN,E,T_BA800029,Profile of SAP_BC_BDC_ADMIN Role
001,SAP_BC_BGRFC_SUPERVISOR,D,T_EZ980004,Profil zur Rolle SAP_BC_BGRFC_SUPERVISOR
001,SAP_BC_BMT_WFM_CONTROLLER,E,T_BA800117,Profile for Role SAP_BC_BMT_WFM_CONTROLLER
001,SAP_BC_BMT_WFM_PROCESS,E,T_BA800086,Profile for Role SAP_BC_BMT_WFM_PROCESS
001,SAP_BC_BMT_WFM_SERV_USER,D,T_LA930098,Profil zur Rolle SAP_BC_BMT_WFM_SERV_USER
001,SAP_BC_BTC_DISPLAY,E,T_LA930031,Profile for role SAP_BC_BTC_DISPLAY
001,SAP_BC_BUSINESS_CONTENT,E,T_YA670098,Profile for role SAP_BC_BUSINESS_CONTENT
001,SAP_BC_CAT_TESTER,D,T_BA800087,Profil zur Rolle SAP_BC_CAT_TESTER
001,SAP_BC_CAT_TESTER,E,T_BA800087,Profile for Role SAP_BC_CAT_TESTER
001,SAP_BC_CCM_DATA_ARCHIVING,E,T_BE060011,Profile for role SAP_BC_CCM_DATA_ARCHIVING
001,SAP_BC_CM_ADMINISTRATOR,D,T_EW350012,Profil zur Rolle SAP_BC_CM_ADMINISTRATOR
001,SAP_BC_CM_USER,D,T_EW350013,Profil zur Rolle SAP_BC_CM_USER
001,SAP_BC_CSMREG,D,T_BE112323,Profil zur Rolle SAP_BC_CSMREG
001,SAP_BC_CTC,D,T_BE114305,Profil zur Rolle SAP_BC_CTC
001,SAP_BC_CTS_ADMIN,E,T_LA930102,Profile for role SAP_BC_CTS_ADMIN
001,SAP_BC_CUS_ADMIN,D,T_BE111061,Profil zur Rolle SAP_BC_CUS_ADMIN
001,SAP_BC_CUS_CUSTOMIZER,D,T_BE111062,Profil zur Rolle SAP_BC_CUS_CUSTOMIZER
001,SAP_BC_DB_ADMIN,E,T_BA800090,Profile for SAP_BC_DB_ADMIN Role
001,SAP_BC_DB_ADMIN_DB2,E,T_BA800044,Profile for Role SAP_BC_DB_ADMIN_DB2
001,SAP_BC_DB_ADMIN_DB4,D,T_BA800082,Profil zur Rolle SAP_BC_DB_ADMIN_DB4
001,SAP_BC_DB_ADMIN_DB6,D,T_BA800059,Profil zur Rolle SAP_BC_DB_ADMIN_DB6
001,SAP_BC_DB_ADMIN_DB6,E,T_BA800059,Profile for Role SAP_BC_DB_ADMIN_DB6
001,SAP_BC_DB_ADMIN_INF,E,T_BA800083,Profile for Role SAP_BC_DB_ADMIN_INF
001,SAP_BC_DB_ADMIN_LIVECACHE,D,T_BE110237,Profil zur Rolle SAP_BC_DB_ADMIN_LIVECACHE
001,SAP_BC_DB_ADMIN_MSS,D,T_BA800045,Profil zur Rolle SAP_BC_DB_ADMIN_MSS
001,SAP_BC_DB_ADMIN_MSS,E,T_BA800045,Profile for Role SAP_BC_DB_ADMIN_MSS
001,SAP_BC_DB_ADMIN_ORA,E,T_BA800091,Profile for SAP_BC_DB_ADMIN_ORA Role
001,SAP_BC_DB_ADMIN_SAPDB,D,T_BA800057,Profil zur Rolle SAP_BC_DB_ADMIN_SAPDB
001,SAP_BC_DB_ADMIN_SAPDB,E,T_BA800057,Profile for SAP_BC_DB_ADMIN_SAPDB Role
001,SAP_BC_DB_ADMIN_SDB,D,T_BE112107,Profil zur Rolle SAP_BC_DB_ADMIN_SDB
001,SAP_BC_DB_SHOW_LIVECACHE,D,T_BE110246,Profil zur Rolle SAP_BC_DB_SHOW_LIVECACHE
001,SAP_BC_DWB_ABAPDEVELOPER,D,T_BA800053,Profil zur Rolle SAP_BC_DWB_ABAPDEVELOPER
001,SAP_BC_DWB_ABAPDEVELOPER,E,T_BA800053,Profile for Role SAP_BC_DWB_ABAPDEVELOPER
001,SAP_BC_DWB_WBDISPLAY,D,T_BA800099,Profil zur Rolle SAP_BC_DWB_WBDISPLAY
001,SAP_BC_DWB_WBDISPLAY,E,T_BA800099,Profile for Role SAP_BC_DWB_WBDISPLAY
001,SAP_BC_ECATT_TESTER,D,S_ECR_EXEC,Profil zur Rolle SAP_BC_ECATT_TESTER
001,SAP_BC_ECATT_TEST_DEVELOPER,D,S_ECDEV___,Profil zur Rolle SAP_BC_ECATT_TEST_DEVELOPER
001,SAP_BC_ECATT_TEST_FUN,D,S_ECFUN___,Profil zur Rolle SAP_BC_ECATT_TEST_FUN
001,SAP_BC_EMPLOYEE,D,T_BA800079,Profil zur Rolle SAP_BC_EMPLOYEE
001,SAP_BC_EMPLOYEE,E,T_BA800079,Profile of Role SAP_BC_EMPLOYEE
001,SAP_BC_ENDUSER,E,T_BA800067,Profile for Role SAP_BC_ENDUSER
001,SAP_BC_EPM_BASE,E,T_Y3670110,Profile for role SAP_BC_EPM_BASE
001,SAP_BC_EPM_WEBDYNPRO,E,T_Y2190185,Profile for role SAP_BC_EPM_WEBDYNPRO
001,SAP_BC_EPM_WEBSERVICE_CONSUMER,E,T_Y2190184,Profile for role SAP_BC_EPM_WEBSERVICE_CONSUMER
001,SAP_BC_FES_GUI_DISPLAY,E,T_LA930037,Profile for role SAP_BC_FES_GUI_DISPLAY
001,SAP_BC_FPADS_ICF,D,T_YA670211,Profil zur Rolle SAP_BC_FPADS_ICF
001,SAP_BC_FP_ICF,D,T_B0960197,Profil zur Rolle SAP_BC_FP_ICF
001,SAP_BC_ILM_CHECKSUM,D,T_Y2190173,Profil zur Rolle SAP_BC_ILM_CHECKSUM
001,SAP_BC_ILM_IRM,E,T_Y2190144,Profile for role SAP_BC_ILM_IRM
001,SAP_BC_ILM_LHM_ADMIN,D,T_Y3670117,Profil zur Rolle SAP_BC_ILM_LHM_ADMIN
001,SAP_BC_ILM_LHM_EXPERT,D,T_Y3670118,Profil zur Rolle SAP_BC_ILM_LHM_EXPERT
001,SAP_BC_LVC_ADMINISTRATOR,D,T_BE111414,Profil zur Rolle SAP_BC_LVC_ADMINISTRATOR
001,SAP_BC_LVC_OPERATOR,D,T_BE111415,Profil zur Rolle SAP_BC_LVC_OPERATOR
001,SAP_BC_LVC_SUPERUSER,D,T_BE111413,Profil zur Rolle SAP_BC_LVC_SUPERUSER
001,SAP_BC_LVC_USER,D,T_BE111416,Profil zur Rolle SAP_BC_LVC_USER
001,SAP_BC_MID_ALE_ADMIN,D,T_BA800101,Profil zur Rolle SAP_BC_MID_ALE_ADMIN
001,SAP_BC_MID_ALE_ADMIN,E,T_BA800101,Profile for Role SAP_BC_MID_ALE_ADMIN
001,SAP_BC_MID_ALE_IDOC_ADMIN,D,T_BE111390,Profil zur Rolle SAP_BC_MID_ALE_IDOC_ADMIN
001,SAP_BC_PRN_DISPLAY,E,T_LA930032,Profile for role SAP_BC_PRN_DISPLAY
001,SAP_BC_REDWOOD_COMMUNICATION,D,T_YA670504,Profil zur Rolle SAP_BC_REDWOOD_COMMUNICATION
001,SAP_BC_REDWOOD_COMM_EXT_SDL,D,T_YA670503,Profil zur Rolle SAP_BC_REDWOOD_COMM_EXT_SDL
001,SAP_BC_RM_ADMINISTRATOR,D,T_BA620009,Profil zur Rolle SAP_BC_RM_ADMINISTRATOR
001,SAP_BC_RM_USER,D,T_BA620010,Profil zur Rolle SAP_BC_RM_USER
001,SAP_BC_SEFS_ADMIN,E,T_YA670474,Profile for role SAP_BC_SEFS_ADMIN
001,SAP_BC_SEFS_RFC_ENDUSER,E,T_YA670472,Profile for role SAP_BC_SEFS_RFC_ENDUSER
001,SAP_BC_SERVICES&SUPPORT,D,T_BA800035,Profil zur Rolle SAP_BC_SERVICES&SUPPORT
001,SAP_BC_SERVICES&SUPPORT,E,T_BA800035,Profile for SAP_BC_SERVICES&SUPPORT Role
001,SAP_BC_SES_ADMIN,E,T_BE420068,Profile for role SAP_BC_SES_ADMIN
001,SAP_BC_SES_RFC_ENDUSER,E,T_YA670231,Profile for role SAP_BC_SES_RFC_ENDUSER
001,SAP_BC_SIW_ARCHITECT,E,T_Y3670068,Profile for role SAP_BC_SIW_ARCHITECT
001,SAP_BC_SIW_DEV,E,T_Y3670065,Profile for role SAP_BC_SIW_DEV
001,SAP_BC_SRV_ARL_ADMIN_OLD,D,T_Y2190041,Profil zur Rolle SAP_BC_SRV_ARL_ADMIN_OLD
001,SAP_BC_SRV_ASF_AT_ADMIN,D,T_B0960682,Profil zur Rolle SAP_BC_SRV_ASF_AT_ADMIN
001,SAP_BC_SRV_ASF_AT_USER,D,T_B0960681,Profil zur Rolle SAP_BC_SRV_ASF_AT_USER
001,SAP_BC_SRV_COM_ADMIN,D,T_BA800113,Profil zur Rolle SAP_BC_SRV_COM_ADMIN
001,SAP_BC_SRV_COM_ADMIN,E,T_BA800113,Profile for role SAP_BC_SRV_COM_ADMIN
001,SAP_BC_SRV_DX_ADMIN,D,T_BE111629,Profil zur Rolle SAP_BC_SRV_DX_ADMIN
001,SAP_BC_SRV_DX_MANAGER,D,T_BE111628,Profil zur Rolle SAP_BC_SRV_DX_MANAGER
001,SAP_BC_SRV_EDI_ADMIN,D,T_BA800115,Profil zur Rolle SAP_BC_SRV_EDI_ADMIN
001,SAP_BC_SRV_EDI_ADMIN,E,T_BA800115,Profile for role SAP_BC_SRV_EDI_ADMIN
001,SAP_BC_SRV_EDI_DEVELOPER,D,T_BA800114,Profil zur Rolle SAP_BC_SRV_EDI_DEVELOPER
001,SAP_BC_SRV_EDI_DEVELOPER,E,T_BA800114,Profile for role SAP_BC_SRV_EDI_DEVELOPER
001,SAP_BC_SRV_FORM_PRINTING,D,T_BE060024,Profil zur Rolle SAP_BC_SRV_FORM_PRINTING
001,SAP_BC_SRV_FORM_PRINTING,E,T_BE060024,Profile for Role SAP_BC_SRV_FORM_PRINTING
001,SAP_BC_SRV_KPR_ADMIN,D,T_BA800107,Profil zur Rolle SAP_BC_SRV_KPR_ADMIN
001,SAP_BC_SRV_KPR_ADMIN,E,T_BA800107,Profile for role SAP_BC_SRV_KPR_ADMIN
001,SAP_BC_SRV_PCO_BS_INT_ADMIN,D,T_Y3670101,Profil zur Rolle SAP_BC_SRV_PCO_BS_INT_ADMIN
001,SAP_BC_SRV_PCO_BS_INT_USER,D,T_Y3670100,Profil zur Rolle SAP_BC_SRV_PCO_BS_INT_USER
001,SAP_BC_SRV_PPF_ADMIN,D,T_BA800080,Profil zur Rolle SAP_BC_SRV_PPF_ADMIN
001,SAP_BC_SRV_PPF_ADMIN,E,T_BA800080,Profile for Role SAP_BC_SRV_PPF_ADMIN
001,SAP_BC_SRV_USER,E,T_BA800112,Profile for role SAP_BC_SRV_USER
001,SAP_BC_STC_AUTHOR,E,T_Y3670204,Profile for role SAP_BC_STC_AUTHOR
001,SAP_BC_STC_CONT_ADMIN,E,T_Y3670475,Profile for role SAP_BC_STC_CONT_ADMIN
001,SAP_BC_STC_CONT_DISPLAY,E,T_Y3670474,Profile for role SAP_BC_STC_CONT_DISPLAY
001,SAP_BC_STC_CUST,E,T_Y3670269,T_Y3670269
001,SAP_BC_STC_DISPLAY,E,T_Y3670207,Profile for role SAP_BC_STC_DISPLAY
001,SAP_BC_STC_REMOTE,E,T_Y3670213,Profile for role SAP_BC_STC_REMOTE
001,SAP_BC_STC_REORG,E,T_Y3670212,Profile for role SAP_BC_STC_REORG
001,SAP_BC_STC_USER,E,T_Y3670206,Profile for role SAP_BC_STC_USER
001,SAP_BC_STWB_1_ALL,D,T_BE112945,Profil zur Rolle SAP_BC_STWB_1_ALL
001,SAP_BC_STWB_1_DIS,D,T_BE112946,Profil zur Rolle SAP_BC_STWB_1_DIS
001,SAP_BC_STWB_2_ALL,D,T_BE112947,Profil zur Rolle SAP_BC_STWB_2_ALL
001,SAP_BC_STWB_2_DIS,D,T_BE112948,Profil zur Rolle SAP_BC_STWB_2_DIS
001,SAP_BC_STWB_INFO_ALL,D,T_BE112951,Profil zur Rolle SAP_BC_STWB_INFO_ALL
001,SAP_BC_STWB_INFO_DIS,D,T_BE112952,Profil zur Rolle SAP_BC_STWB_INFO_DIS
001,SAP_BC_STWB_SET_ALL,D,T_BE112953,Profil zur Rolle SAP_BC_STWB_SET_ALL
001,SAP_BC_STWB_WORK_ALL,D,T_BE112949,Profil zur Rolle SAP_BC_STWB_WORK_ALL
001,SAP_BC_STWB_WORK_DIS,D,T_BE112950,Profil zur Rolle SAP_BC_STWB_WORK_DIS
001,SAP_BC_S_DBCON_ADMIN,E,T_Y3670211,Profile for role SAP_BC_S_DBCON_ADMIN
001,SAP_BC_S_DBCON_USER,E,T_Y3670210,Profile for role SAP_BC_S_DBCON_USER
001,SAP_BC_TC_DEVELOP_ALL,D,T_BE112943,Profil zur Rolle SAP_BC_TC_DEVELOP_ALL
001,SAP_BC_TC_DEVELOP_DIS,D,T_BE112944,Profil zur Rolle SAP_BC_TC_DEVELOP_DIS
001,SAP_BC_TRANSPORT_ADMINISTRATOR,D,T_BA800078,Profil zur Rolle SAP_BC_TRANSPORT_ADMINISTRATOR
001,SAP_BC_TRANSPORT_ADMINISTRATOR,E,T_BA800078,Profile for Role SAP_BC_TRANSPORT_ADMINISTRATOR
001,SAP_BC_TRANSPORT_OPERATOR,D,T_BA800096,Profil zur Rolle SAP_BC_TRANSPORT_OPERATOR
001,SAP_BC_TRANSPORT_OPERATOR,E,T_BA800096,Profile for Role SAP_BC_TRANSPORT_OPERATOR
001,SAP_BC_TREX_ADMIN,E,T_YA670150,Profile for role SAP_BC_TREX_ADMIN
001,SAP_BC_UI_SFSF_USER,E,T_Y3670471,Profile for role SAP_BC_UI_SFSF_USER
001,SAP_BC_USER_ADMIN,E,T_BA800095,Profile for Role SAP_BC_USER_ADMIN
001,SAP_BC_USR_CUA_CENTRAL,D,T_LA930072,Profil zur Rolle SAP_BC_USR_CUA_CENTRAL
001,SAP_BC_USR_CUA_CENTRAL,E,T_LA930072,Profile for role SAP_BC_USR_CUA_CENTRAL
001,SAP_BC_USR_CUA_CENTRAL_BDIST,E,T_YA670107,Profile for role SAP_BC_USR_CUA_CENTRAL_BDIST
001,SAP_BC_USR_CUA_CLIENT,E,T_Y2190045,Profile for role SAP_BC_USR_CUA_CLIENT
001,SAP_BC_USR_CUA_CLIENT_BATCH,E,T_Y2190046,Profile for role SAP_BC_USR_CUA_CLIENT_BATCH
001,SAP_BC_USR_CUA_CLIENT_PFCG,D,T_YA670533,Profil zur Rolle SAP_BC_USR_CUA_CLIENT_PFCG
001,SAP_BC_USR_CUA_CLIENT_PFCG,E,T_YA670533,Profile for role SAP_BC_USR_CUA_CLIENT_PFCG
001,SAP_BC_USR_CUA_CLIENT_RFC,D,T_Y2190047,Profil zur Rolle SAP_BC_USR_CUA_CLIENT_RFC
001,SAP_BC_USR_CUA_CLIENT_RFC,E,T_YA670428,Profile for role SAP_BC_USR_CUA_CLIENT_RFC
001,SAP_BC_USR_CUA_SETUP_CENTRAL,D,T_Y2190048,Profil zur Rolle SAP_BC_USR_CUA_SETUP_CENTRAL
001,SAP_BC_USR_CUA_SETUP_CENTRAL,E,T_Y2190048,Profile for role SAP_BC_USR_CUA_SETUP_CENTRAL
001,SAP_BC_USR_CUA_SETUP_CLIENT,D,T_YA670210,Profil zur Rolle SAP_BC_USR_CUA_SETUP_CLIENT
001,SAP_BC_USR_CUA_SETUP_CLIENT,E,T_YA670210,Profile for role SAP_BC_USR_CUA_SETUP_CLIENT
001,SAP_BC_UWL_ADMIN_USER,E,T_YA670144,Profile for role SAP_BC_UWL_ADMIN_USER
001,SAP_BC_UWL_END_USER,E,T_YA670145,Profile for role SAP_BC_UWL_END_USER
001,SAP_BC_UWL_SERVICE,D,T_BI660089,Profil zur Rolle SAP_BC_UWL_SERVICE
001,SAP_BC_WDHC_ADMINISTRATOR,D,T_LA930135,Profil zur Rolle SAP_BC_WDHC_ADMINISTRATOR
001,SAP_BC_WDHC_POWERUSER,D,T_LA930134,Profil zur Rolle SAP_BC_WDHC_POWERUSER
001,SAP_BC_WDHC_START,D,T_Y3670529,Profil zur Rolle SAP_BC_WDHC_START
001,SAP_BC_WDHC_TRANSLATOR,D,T_LA930136,Profil zur Rolle SAP_BC_WDHC_TRANSLATOR
001,SAP_BC_WEBSERVICE_ADMIN,D,T_BA760008,Profil zur Rolle SAP_BC_WEBSERVICE_ADMIN
001,SAP_BC_WEBSERVICE_ADMIN_BIZ,D,T_EZ980005,Profil zur Rolle SAP_BC_WEBSERVICE_ADMIN_BIZ
001,SAP_BC_WEBSERVICE_ADMIN_BIZ,E,T_EZ980005,Profile for role SAP_BC_WEBSERVICE_ADMIN_BIZ
001,SAP_BC_WEBSERVICE_ADMIN_TEC,D,T_EZ980006,Profil zur Rolle SAP_BC_WEBSERVICE_ADMIN_TEC
001,SAP_BC_WEBSERVICE_ADMIN_TEC,E,T_EZ980006,Profile for role SAP_BC_WEBSERVICE_ADMIN_TEC
001,SAP_BC_WEBSERVICE_CONFIGURATOR,D,T_LA930056,Profil zur Rolle SAP_BC_WEBSERVICE_CONFIGURATOR
001,SAP_BC_WEBSERVICE_CONFIGURATOR,E,T_LA930056,Profile for role SAP_BC_WEBSERVICE_CONFIGURATOR
001,SAP_BC_WEBSERVICE_CONSUMER,D,T_EZ980007,Profil zur Rolle SAP_BC_WEBSERVICE_CONSUMER
001,SAP_BC_WEBSERVICE_DEBUGGER,D,T_EZ980008,Profil zur Rolle SAP_BC_WEBSERVICE_DEBUGGER
001,SAP_BC_WEBSERVICE_OBSERVER,D,T_EZ980009,Profil zur Rolle SAP_BC_WEBSERVICE_OBSERVER
001,SAP_BC_WEBSERVICE_OBSERVER,E,T_EZ980009,Profile for role SAP_BC_WEBSERVICE_OBSERVER
001,SAP_BC_WEBSERVICE_PI_CFG_SRV,D,T_LA930142,Profil zur Rolle SAP_BC_WEBSERVICE_PI_CFG_SRV
001,SAP_BC_WEBSERVICE_PI_CFG_SRV,E,T_LA930142,Profile for role SAP_BC_WEBSERVICE_PI_CFG_SRV
001,SAP_BC_WEBSERVICE_SERVICE_USER,D,T_EZ980010,Profil zur Rolle SAP_BC_WEBSERVICE_SERVICE_USER
001,SAP_BPC_ADMIN,E,T_K1300004,Profile for role SAP_BPC_ADMIN
001,SAP_BPC_BICS_REPORTER,E,T_EF107532,Profile for role SAP_BPC_BICS_REPORTER
001,SAP_BPC_BTCH_JOB,E,T_EF107526,Profile for role SAP_BPC_BTCH_JOB
001,SAP_BPC_CLM_EXPORT,E,T_EF107516,Profile for role SAP_BPC_CLM_EXPORT
001,SAP_BPC_CLM_IMPORT,E,T_EF107517,Profile for role SAP_BPC_CLM_IMPORT
001,SAP_BPC_MDX_REPORTER,E,T_EF107531,Profile for role SAP_BPC_MDX_REPORTER
001,SAP_BPC_SERVICE,E,T_EF056734,Profile for role SAP_BPC_SERVICE
001,SAP_BPC_SYSADMIN,E,T_K1300003,Profile for role SAP_BPC_SYSADMIN
001,SAP_BPC_TABU_DIS,E,T_EF107534,Profile for role SAP_BPC_TABU_DIS
001,SAP_BPC_USER,E,T_K1300002,Profile for role SAP_BPC_USER
001,SAP_BPC_WS_USER,E,T_EF107530,Profile for role SAP_BPC_WS_USER
001,SAP_BPT_GBT_ADMINISTRATION,D,T_56184361,Profil zur Aktivittsgruppe SAP_BPT_GBT_ADMINISTRATION
001,SAP_BW_BPC_BPF_SYSTEM_REPORT,E,T_KW650276,Profile for role SAP_BW_BPC_BPF_SYSTEM_REPORT
001,SAP_BW_BPC_WS_SYSTEM_REPORT,E,T_KW650277,Profile for role SAP_BW_BPC_WS_SYSTEM_REPORT
001,SAP_BW_BPM_MODELLER,E,T_BA850029,Profile for role SAP_BW_BPM_MODELLER
