MANDT,PROFN,AKTPS,SUBPROF
210,A_ANZEIGE,A,A_ANZ
210,A_ANZEIGE,A,A_IMPR_ALL
210,A_ANZEIGE,A,F_BUCH_ALL
210,A_ANZEIGE,A,X_COBL_ALL
210,C_A.AV,A,C_AENR_ALL
210,C_A.AV,A,C_ARPL_ALL
210,C_A.AV,A,C_CAP_ALL
210,C_A.AV,A,C_FAUF_ANZ
210,C_A.AV,A,C_FHMI_ALL
210,C_A.AV,A,C_MSTL_ANZ
210,C_A.AV,A,C_ROUT_ALL
210,C_A.AV,A,M_MATE_ANZ
210,C_A.AV,A,M_MATE_AV
210,C_A.DISPO,A,C_AENR_ANZ
210,C_A.DISPO,A,C_ARPL_ANZ
210,C_A.DISPO,A,C_FAUF_ANZ
210,C_A.DISPO,A,C_FHMI_ANZ
210,C_A.DISPO,A,C_PB_ALL
210,C_A.DISPO,A,C_PB_REO
210,C_A.DISPO,A,C_ROUT_ANZ
210,C_A.DISPO,A,C_SOP_ALL
210,C_A.DISPO,A,C_STUE_ANZ
210,C_A.DISPO,A,M_BEFU_ANZ
210,C_A.DISPO,A,M_EBEL_ANZ
210,C_A.DISPO,A,M_MATE_ANZ
210,C_A.DISPO,A,M_MATE_DISP
210,C_A.DISPO,A,M_MRES_ALL
210,C_A.DISPO,A,M_MTDI_PLA
210,C_A.DISPO,A,M_MTDI_REP
210,C_A.DISPO,A,M_PLAF_ALL
210,C_A.FAUF,A,C_ARPL_ANZ
210,C_A.FAUF,A,C_FAUF_ALL
210,C_A.FAUF,A,C_KAPA_ALL
210,C_A.FAUF,A,C_KAPA_CUST
210,C_A.FAUF,A,C_PBED_ANZ
210,C_A.FAUF,A,C_ROUT_ANZ
210,C_A.FAUF,A,C_SAFK_ALL
210,C_A.FAUF,A,C_SOP_ANZ
210,C_A.FAUF,A,C_STUE_ANZ
210,C_A.FAUF,A,M_BEFU_ANZ
210,C_A.FAUF,A,M_EBEL_ANZ
210,C_A.FAUF,A,M_MATE_ANZ
210,C_A.FAUF,A,M_MTDI_REP
210,C_A.FAUF,A,M_PLAF_ALL
210,C_A.KONSTRUK,A,C_AENR_ALL
210,C_A.KONSTRUK,A,C_MSTL_ALL
210,C_A.KONSTRUK,A,C_ROUT_ANZ
210,C_A.KONSTRUK,A,M_MATE_ANZ
210,C_A.KONSTRUK,A,M_MATE_KON
210,C_EHS_ALL,A,C_EHSH_ALL
210,C_EHS_ALL,A,C_EHS_DG_ALL
210,C_EHS_ALL,A,C_EHS_IH_ALL
210,C_EHS_ALL,A,C_EHS_PS_ALL
210,C_EHS_ALL,A,C_EHS_WM_ALL
210,C_EHS_PS_ALL,A,C_SHE_ALL
210,C_PPPI_ALL,A,C_ALL
210,C_PPPI_ALL,A,C_CCPI_ALL
210,C_PPPI_ALL,A,C_CREC_ALL
210,C_PPPI_ALL,A,C_CRPI_ALL
210,C_PPPI_ALL,A,C_EVAL_ALL
210,C_PPPI_ALL,A,C_MESS_ALL
210,C_PPPI_ALL,A,C_MREC_ALL
210,C_PPPI_ALL,A,C_MREC_MAT
210,C_PPPI_ALL,A,C_TRAN_ALL
210,C_PS_ALL,A,C_PDC_ALL
210,C_PS_ALL,A,C_PS_001
210,C_PS_ALL,A,F_FICB_ALL
210,C_PS_ALL,A,K_REP_ALL
210,F_BANK_ALL,A,F_BANK
210,F_BANK_ALL,A,S_A.USER
210,F_BUCHHALTER,A,F_ANLAGEN
210,F_BUCHHALTER,A,F_BANK_ALL
210,F_BUCHHALTER,A,F_DEBI_ALL
210,F_BUCHHALTER,A,F_KREDI_ALL
210,F_BUCHHALTER,A,F_SAKO_ALL
210,F_BUCH_ALL,A,F_BUCHHALTER
210,F_BUCH_ALL,A,F_SYS_TEST
210,F_DEBI_ALL,A,F_DEBITOREN
210,F_DEBI_ALL,A,S_A.USER
210,F_ISIS_ALL,A,F_DARL_ALL
210,F_ISIS_ALL,A,F_DTFEED_ALL
210,F_ISIS_ALL,A,F_IMMO_LIS
210,F_ISIS_ALL,A,F_ISRE_ALL
210,F_ISIS_ALL,A,F_PART_ALL
210,F_ISIS_ALL,A,F_TEXT_ALL
210,F_ISIS_ALL,A,F_WERTP_ALL
210,F_ISIS_ALL,A,F_ZFREI_ALL
210,F_ISIS_ALL,A,F_ZPART_ALL
210,F_ISIS_ALL,A,G_SETS_ALL
210,F_ISIS_ALL,A,S_A.USER
210,F_ISRE_ALL,A,F_IMMO_ALL
210,F_ISRE_ALL,A,F_IMMO_LIS
210,F_ISRE_ALL,A,F_PART_ALL
210,F_ISRE_ALL,A,F_TEXT_ALL
210,F_ISRE_ALL,A,F_ZPART_ALL
210,F_ISRE_ALL,A,G_SETS_ALL
210,F_ISRE_ALL,A,S_A.USER
210,F_KBE_ALL,A,F_KBE__RES_A
210,F_KBE_ALL,A,F_KBE__TRA_A
210,F_KREDI_ALL,A,F_KREDITOREN
210,F_KREDI_ALL,A,M_ESTA_ANZ
210,F_KREDI_ALL,A,S_A.USER
210,F_SAKO_ALL,A,F_SACHKONTEN
210,F_SAKO_ALL,A,M_BILA_ALL
210,F_SAKO_ALL,A,S_A.USER
210,F_SYS_ADMIN,A,F_BUCHHALTER
210,F_SYS_ADMIN,A,F_SYS_TEST
210,G_ALL,A,G_BASE_ALL
210,G_ALL,A,G_PLAN_ALL
210,G_ALL,A,G_REPO_ALL
210,G_ALL,A,G_RULES_ALL
210,G_ALL,A,G_RW_ALL
210,G_ALL,A,G_SETS_ALL
210,G_ALL,A,G_SUBST_ALL
210,G_ALL,A,G_VALID_ALL
210,I_WCM_ALL,A,I_CONF_ALL
210,I_WCM_ALL,A,I_FCODE_ALL
210,I_WCM_ALL,A,I_VAL_ALL
210,I_WCM_ALL,A,I_WCUSE_ALL
210,J_AUSW_ALL,A,J_AUSW_ISP
210,J_AUSW_ALL,A,J_LIS_ISP_AL
210,J_B_ISBRM001,A,DARWIN_ALL
210,J_B_ISBRM001,A,F_DERIVA_ALL
210,J_B_ISBRM001,A,F_TR_MRM_ALL
210,J_B_ISBRM001,A,J_B_ISBALL
210,J_B_ISBRM001,A,J_B_ISBRMALL
210,J_B_ISBRM001,A,K_RKE_ALL
210,J_B_ISBRM001,A,P_TRTM_ALL
210,J_B_ISB_ALL,A,F_T_FTLM_ALL
210,J_B_ISB_ALL,A,J_B_EGK_ALL
210,J_B_ISB_ALL,A,J_RM_EXPERTE
210,J_B_ISB_DISP,A,J_B_EGK_DISP
210,J_B_ISB_DISP,A,J_RM_ORDUSER
210,J_ISPAM_ALL,A,J_JCONTR_ALL
210,J_ISPAM_ALL,A,J_JCUST_ALL
210,J_ISPAM_ALL,A,J_JFKT_ALL
210,J_ISPAM_ALL,A,J_JORDER_ALL
210,J_ISPAM_ALL,A,J_JST_ALL
210,J_ISPAM_ALL,A,J_JSUB_ALL
210,J_ISPAM_ALL,A,J_JVFIND_ALL
210,J_ISPAM_ALL,A,V_KONT_ALL
210,J_ISPSD_ALL,A,J_AUSW_ALL
210,J_ISPSD_ALL,A,J_CUST_ALL
210,J_ISPSD_ALL,A,J_FAKT_ALL
210,J_ISPSD_ALL,A,J_GEN_ALL
210,J_ISPSD_ALL,A,J_ISPNEW_301
210,J_ISPSD_ALL,A,J_KVERK_ALL
210,J_ISPSD_ALL,A,J_LABR_ALL
210,J_ISPSD_ALL,A,J_ORDER_ALL
210,J_ISPSD_ALL,A,J_REORG
210,J_ISPSD_ALL,A,J_RETURN
210,J_ISPSD_ALL,A,J_STAMM_ALL
210,J_ISPSD_ALL,A,J_STRUK_ALL
210,J_ISPSD_ALL,A,J_VERSND_ALL
210,K_JOB_CUST,A,K_JOB_C_ACTU
210,K_JOB_CUST,A,K_JOB_C_BUDG
210,K_JOB_CUST,A,K_JOB_C_INFO
210,K_JOB_CUST,A,K_JOB_C_MAST
210,K_JOB_CUST,A,K_JOB_C_PLAN
210,K_PCA_ALL,A,G_BASE_ALL
210,K_PCA_ALL,A,G_PLAN_ALL
210,K_PCA_ALL,A,G_RW_ALL
210,K_PCA_ALL,A,G_SETS_ALL
210,K_PCA_ALL,A,G_SUBST_ALL
210,K_PCA_ALL,A,K_PCA_AL1
210,K_PCA_ALL,A,K_PCA_SD
210,K_RCL_ALL,A,K_RCL_ADMI
210,K_RCL_ALL,A,K_RCL_USER
210,M_A.DISPO,A,M_BEFU_ANZ
210,M_A.DISPO,A,M_EBEL_ANZ
210,M_A.DISPO,A,M_MATE_ANZ
210,M_A.DISPO,A,M_MTDI_PLA
210,M_A.DISPO,A,M_MTDI_REP
210,M_A.DISPO,A,M_PLAF_ALL
210,M_A.DISPO,A,M_REPR_ALL
210,M_A.EINKAUF,A,A_PROFIL_03
210,M_A.EINKAUF,A,F_BKPF_KAEN
210,M_A.EINKAUF,A,F_BKPF_KANZ
210,M_A.EINKAUF,A,F_KREDI_BANZ
210,M_A.EINKAUF,A,F_SAKO_ANZ
210,M_A.EINKAUF,A,M_ANZ
210,M_A.EINKAUF,A,M_EINK_ALL
210,M_A.EINKAUF,A,M_ESTA_ALL
210,M_A.LAGER,A,M_BEFU_ALL
210,M_A.LAGER,A,M_EBEL_ANZ
210,M_A.LAGER,A,M_MATE_ANZ
210,M_A.RECH,A,F_BKPF_KAEN
210,M_A.RECH,A,F_BKPF_KANZ
210,M_A.RECH,A,F_KREDI_BANZ
210,M_A.RECH,A,F_SAKO_ANZ
210,M_A.RECH,A,M_ANZ
210,M_A.RECH,A,M_REPR_ALL
210,M_ALL,A,M_ANFR_ALL
210,M_ALL,A,M_ANGE_ALL
210,M_ALL,A,M_BANF_ALL
210,M_ALL,A,M_BEFU_ALL
210,M_ALL,A,M_BEST_ALL
210,M_ALL,A,M_BILA_ALL
210,M_ALL,A,M_EINF_ALL
210,M_ALL,A,M_EINK_ALL
210,M_ALL,A,M_LIS_ALL
210,M_ALL,A,M_LPET_ALL
210,M_ALL,A,M_MATE_ALL
210,M_ALL,A,M_MTDI_PLA
210,M_ALL,A,M_MTDI_REP
210,M_ALL,A,M_ORDR_ALL
210,M_ALL,A,M_PLAF_ALL
210,M_ALL,A,M_QUOT_ALL
210,M_ALL,A,M_RAHM_ALL
210,M_ALL,A,M_REPR_ALL
210,M_ANZ,A,M_BEFU_ANZ
210,M_ANZ,A,M_EINK_ANZ
210,M_ANZ,A,M_LIS_ALL
210,M_ANZ,A,M_MATE_ANZ
210,M_ANZ,A,M_REPR_ANZ
210,N_ISHMED_ALL,A,N_1APMG_ALL
210,N_ISHMED_ALL,A,N_2DWS_ALL
210,N_ISHMED_ALL,A,N_2F4TREE
210,N_ISHMED_ALL,A,N_2GL_ALL
210,N_ISHMED_ALL,A,N_2TBS_ALL
210,N_ISHMED_ALL,A,N_2UX
210,N_ISHMED_ALL,A,N_AUSW_ALL
210,N_ISHMED_ALL,A,N_LMGMT_ALL
210,N_ISHMED_ALL,A,N_MDOKU_ALL
210,N_ISHMED_ALL,A,N_OP_ALL
210,N_ISHMED_ALL,A,N_PTS_ALL
210,N_ISHMED_ALL,A,N_VITPAR_ALL
210,N_ISHMED_NEW,A,N_2F4TREE
210,N_ISHMED_NEW,A,N_2GL_ALL
210,N_ISHMED_NEW,A,N_2TBS_ALL
210,N_ISHMED_NEW,A,N_2UX
210,N_ISHMED_NEW,A,N_MDSV_ALL
210,N_ISHMED_NEW,A,N_VITPAR_ALL
210,N_ISHMED_NEW,A,N_VM_ALL
210,N_ISHMED_NEW,A,N_WPLACE_ALL
210,N_ISH_ALL,A,N_AMB_ALL
210,N_ISH_ALL,A,N_CARE_ALL
210,N_ISH_ALL,A,N_COMM_ALL
210,N_ISH_ALL,A,N_DRG_ALL
210,N_ISH_ALL,A,N_EINR_ALL
210,N_ISH_ALL,A,N_FALL_NR_AL
210,N_ISH_ALL,A,N_FARCH_ALL
210,N_ISH_ALL,A,N_FDIS_ALL
210,N_ISH_ALL,A,N_FORM_ALL
210,N_ISH_ALL,A,N_FSRC_ALL
210,N_ISH_ALL,A,N_GPAR_ALL
210,N_ISH_ALL,A,N_HONABR
210,N_ISH_ALL,A,N_INVOICE
210,N_ISH_ALL,A,N_LANF_ALL
210,N_ISH_ALL,A,N_LERF_ALL
210,N_ISH_ALL,A,N_MAT_ALL
210,N_ISH_ALL,A,N_MRM_ALL
210,N_ISH_ALL,A,N_NBAU_AKT
210,N_ISH_ALL,A,N_NBEW_ALL
210,N_ISH_ALL,A,N_NDIA_ALL
210,N_ISH_ALL,A,N_NFSR_ALL
210,N_ISH_ALL,A,N_NICP_ALL
210,N_ISH_ALL,A,N_NLEI_ALL
210,N_ISH_ALL,A,N_NORG_ALL
210,N_ISH_ALL,A,N_ORGSPE_ALL
210,N_ISH_ALL,A,N_PAPI_ALL
210,N_ISH_ALL,A,N_PATI_ALL
210,N_ISH_ALL,A,N_PLST_ALL
210,N_ISH_ALL,A,N_PLS_ALL
210,N_ISH_ALL,A,N_PREREG_ALL
210,N_ISH_ALL,A,N_PSRC_ALL
210,N_ISH_ALL,A,N_RFC_0001
210,N_ISH_ALL,A,N_RSF_ALL
210,N_ISH_ALL,A,N_SCORE_ALL
210,N_ISH_ALL,A,N_WPLACE_ALL
210,N_LMGMT_ALL,A,N_LMBDAT_ALL
210,N_LMGMT_ALL,A,N_LMEND_ALL
210,N_MDOKU_ALL,A,N_MDSV_ALL
210,N_MDOKU_ALL,A,N_MDV_ALL
210,N_MDOKU_ALL,A,N_NDIA_ALL
210,P_ALL,A,P_APL_ALL
210,P_ALL,A,P_BAS_ALL
210,P_ALL,A,P_PLAN
210,P_ALL,A,P_TAB_ALL
210,P_ALL,A,P_TRV_ALL
210,P_TRTM_ALL,A,F_FREIG_ALL
210,P_TRTM_ALL,A,F_PART_ALL
210,P_TRTM_ALL,A,K_REP_ALL
210,P_TRTM_ALL,A,P_TRTM
210,Q_ALL,A,Q_CATALOG
210,Q_ALL,A,Q_CERT_ALL
210,Q_ALL,A,Q_CHAR_PRC
210,Q_ALL,A,Q_GP_CODE
210,Q_ALL,A,Q_INSP_FIN
210,Q_ALL,A,Q_INSP_TYPE
210,Q_ALL,A,Q_MASTERD
210,Q_ALL,A,Q_MATERIAL
210,Q_ALL,A,Q_QMEL
210,Q_ALL,A,Q_ROUT_ALL
210,Q_ALL,A,Q_ROUT_STD
210,Q_ALL,A,Q_SPC_ALL
210,Q_ALL,A,Q_STA_MTMK
210,Q_ALL,A,Q_STCK_CHANG
210,Q_ALL,A,Q_TCODE_ALL
210,Q_ALL,A,Q_UD_ALL
210,SAP_ALL,A,&_SAP_ALL_00
210,SAP_ALL,A,&_SAP_ALL_01
210,SAP_ALL,A,&_SAP_ALL_02
210,SAP_ALL,A,&_SAP_ALL_03
210,SAP_ALL,A,&_SAP_ALL_04
210,SAP_ALL,A,&_SAP_ALL_05
210,SAP_ALL,A,&_SAP_ALL_06
210,SAP_ALL,A,&_SAP_ALL_07
210,SAP_ALL,A,&_SAP_ALL_08
210,SAP_ALL,A,&_SAP_ALL_09
210,SAP_ALL,A,&_SAP_ALL_10
210,SAP_ALL,A,&_SAP_ALL_11
210,SAP_ALL,A,&_SAP_ALL_12
210,SAP_ALL,A,&_SAP_ALL_13
210,SAP_ALL,A,&_SAP_ALL_14
210,SAP_ALL,A,&_SAP_ALL_15
210,SAP_ALL,A,&_SAP_ALL_16
210,SAP_ALL,A,&_SAP_ALL_17
210,SAP_ALL,A,&_SAP_ALL_18
210,SAP_NEW,A,SAP_NEW_21C
210,SAP_NEW,A,SAP_NEW_21D
210,SAP_NEW,A,SAP_NEW_22A
210,SAP_NEW,A,SAP_NEW_30A
210,SAP_NEW,A,SAP_NEW_30B
210,SAP_NEW,A,SAP_NEW_30C
210,SAP_NEW,A,SAP_NEW_30D
210,SAP_NEW,A,SAP_NEW_30E
210,SAP_NEW,A,SAP_NEW_30F
210,SAP_NEW,A,SAP_NEW_31G
210,SAP_NEW,A,SAP_NEW_40A
210,SAP_NEW,A,SAP_NEW_45A
210,SAP_NEW,A,S_NEW_7010
210,SAP_NEW,A,S_NEW_7020
210,SAP_NEW,A,S_NEW_7030
210,SAP_NEW,A,S_NEW_7100
210,SAP_NEW,A,S_NEW_7110
210,SAP_NEW,A,S_NEW_7200
210,SAP_NEW,A,S_NEW_7300
210,SAP_NEW,A,S_NEW_7310
210,SAP_NEW,A,S_NEW_7400
210,SAP_NEW_40C,A,SAP_NEW_40CH
210,SAP_NEW_40C,A,SAP_NEW_40CL
210,S_B20,A,B_ALE_ALL
210,S_B20,A,S_ADDR_ALL
210,S_B20,A,S_AL_ALL
210,S_B20,A,S_AL_ALL_PRI
210,S_B20,A,S_APPL_LOG_A
210,S_B20,A,S_ARCH_ALL
210,S_B20,A,S_DAMO
210,S_B20,A,S_DEVELOP
210,S_B20,A,S_DEVELOP_D
210,S_B20,A,S_IDOC_ALL
210,S_B20,A,S_IMG_ACTIV
210,S_B20,A,S_OC_USER
210,S_B20,A,S_PROJ_ALL
210,S_B20,A,S_PROJ_DIS
210,S_B20,A,S_SCRP_ALL
210,S_B20,A,S_USER_SAP
210,S_B20,A,S_WF_ALL
210,S_B20,A,S_WF_PRC_ALL
210,S_B20,A,S_XPRA_ENTW
210,S_BCDEV,A,S_B20
210,S_BCDEV,A,S_BIN
210,S_BI-WHM_RFC,A,B_ALE_ALL
210,S_BI-WHM_RFC,A,S_BI-WHM_SPC
210,S_BI-WHM_RFC,A,S_BTCH_ADM
210,S_BI-WHM_RFC,A,S_BW_RFC
210,S_BI-WHM_RFC,A,S_IDOC_ALL
210,S_BI-WHM_RFC,A,S_RS_ALL
210,S_BI-WX_RFC,A,B_ALE_ALL
210,S_BI-WX_RFC,A,S_APPL_LOG_A
210,S_BI-WX_RFC,A,S_BTCH_ADM
210,S_BI-WX_RFC,A,S_BW_RFC
210,S_BI-WX_RFC,A,S_IDOC_ALL
210,S_BI-WX_RFC,A,S_RO_OSOAC
210,S_BIN,A,S_ABAP_ALL
210,S_BIN,A,S_ADMI_SAP
210,S_BIN,A,S_ARCH_ALL
210,S_BIN,A,S_BDC_ALL
210,S_BIN,A,S_BTCH_ALL
210,S_BIN,A,S_CALENDAR_A
210,S_BIN,A,S_DOKUFS
210,S_BIN,A,S_FIELDSEL
210,S_BIN,A,S_NUMBER
210,S_BIN,A,S_OC_ADMI
210,S_BIN,A,S_OC_USER
210,S_BIN,A,S_QAP_ICF
210,S_BIN,A,S_QAP_RFC
210,S_BIN,A,S_QIO_ALL
210,S_BIN,A,S_RZL_ADMIN
210,S_BIN,A,S_SCD0_ALL
210,S_BIN,A,S_SCRP_ALL
210,S_BIN,A,S_SPOOL_ALL
210,S_BIN,A,S_TABU_ALL
210,S_BIN,A,S_TCD_ALL
210,S_BIN,A,S_USER_SHOW
210,S_DDIC01,A,S_DDIC_AEW
210,S_DDIC01,A,S_DOMA01
210,S_DDIC01,A,S_DTEL01
210,S_DDIC01,A,S_STRU01
210,S_DDIC01,A,S_TABL01
210,S_DDIC01Z,A,S_DDIC_AEW
210,S_DDIC01Z,A,S_DOMA01Z
210,S_DDIC01Z,A,S_DTEL01Z
210,S_DDIC01Z,A,S_STRU01Z
210,S_DDIC01Z,A,S_TABL01Z
210,S_DDIC02,A,S_DDIC_AEW
210,S_DDIC02,A,S_DOMA02
210,S_DDIC02,A,S_DTEL02
210,S_DDIC02,A,S_STRU02
210,S_DDIC02,A,S_TABL02
210,S_DDIC02Z,A,S_DDIC_AEW
210,S_DDIC02Z,A,S_DOMA02Z
210,S_DDIC02Z,A,S_DTEL02Z
210,S_DDIC02Z,A,S_STRU02Z
210,S_DDIC02Z,A,S_TABL02Z
210,S_DDIC03,A,S_DDIC_AEW
210,S_DDIC03,A,S_DOMA03
210,S_DDIC03,A,S_DTEL03
210,S_DDIC03,A,S_STRU03
210,S_DDIC03,A,S_TABL03
210,S_DDIC03Z,A,S_DDIC_AEW
210,S_DDIC03Z,A,S_DOMA03Z
210,S_DDIC03Z,A,S_DTEL03Z
210,S_DDIC03Z,A,S_STRU03Z
210,S_DDIC03Z,A,S_TABL03Z
210,S_DDIC04,A,S_DDIC_AEW
210,S_DDIC04,A,S_DOMA04
210,S_DDIC04,A,S_DTEL04
210,S_DDIC04,A,S_STRU04
210,S_DDIC04,A,S_TABL04
210,S_DDIC04DB,A,S_DDIC_AEW
210,S_DDIC04DB,A,S_DOMA04
210,S_DDIC04DB,A,S_DTEL04
210,S_DDIC04DB,A,S_STRU04
210,S_DDIC04DB,A,S_TABL04DB
210,S_DDIC04Z,A,S_DDIC_AEW
210,S_DDIC04Z,A,S_DOMA04Z
210,S_DDIC04Z,A,S_DTEL04Z
210,S_DDIC04Z,A,S_STRU04Z
210,S_DDIC04Z,A,S_TABL04Z
210,S_DDIC04ZDB,A,S_DDIC_AEW
210,S_DDIC04ZDB,A,S_DOMA04Z
210,S_DDIC04ZDB,A,S_DTEL04Z
210,S_DDIC04ZDB,A,S_STRU04Z
